S,R,Z,Psi
4.63,0.0462774,0.00130067,0.0462963
4.64,0.0463773,0.00130579,0.0463963
4.65,0.0464771,0.00131093,0.0464963
4.66,0.046577,0.00131608,0.0465963
4.67,0.0466769,0.00132124,0.0466963
4.68,0.0467767,0.0013264,0.0467962
4.69,0.0468766,0.00133158,0.0468962
4.7,0.0469765,0.00133677,0.0469962
4.71,0.0470763,0.00134196,0.0470962
4.72,0.0471762,0.00134717,0.0471962
4.73,0.0472761,0.00135239,0.0472961
4.74,0.0473759,0.00135762,0.0473961
4.75,0.0474758,0.00136285,0.0474961
4.76,0.0475756,0.0013681,0.0475961
4.77,0.0476755,0.00137336,0.0476961
4.78,0.0477754,0.00137862,0.0477961
4.79,0.0478752,0.0013839,0.047896
4.8,0.0479751,0.00138919,0.047996
4.81,0.0480749,0.00139448,0.048096
4.82,0.0481748,0.00139979,0.048196
4.83,0.0482747,0.00140511,0.048296
4.84,0.0483745,0.00141044,0.0483959
4.85,0.0484744,0.00141577,0.0484959
4.86,0.0485742,0.00142112,0.0485959
4.87,0.0486741,0.00142648,0.0486959
4.88,0.0487739,0.00143184,0.0487959
4.89,0.0488738,0.00143722,0.0488958
4.9,0.0489737,0.00144261,0.0489958
4.91,0.0490735,0.001448,0.0490958
4.92,0.0491734,0.00145341,0.0491958
4.93,0.0492732,0.00145883,0.0492958
4.94,0.0493731,0.00146425,0.0493957
4.95,0.0494729,0.00146969,0.0494957
4.96,0.0495728,0.00147514,0.0495957
4.97,0.0496726,0.00148059,0.0496957
4.98,0.0497725,0.00148606,0.0497957
4.99,0.0498723,0.00149154,0.0498956
5,0.0499722,0.00149702,0.0499956
5.01,0.050072,0.00150252,0.0500956
5.02,0.0501719,0.00150803,0.0501956
5.03,0.0502717,0.00151354,0.0502956
5.04,0.0503716,0.00151907,0.0503955
5.05,0.0504714,0.00152461,0.0504955
5.06,0.0505712,0.00153015,0.0505955
5.07,0.0506711,0.00153571,0.0506955
5.08,0.0507709,0.00154128,0.0507954
5.09,0.0508708,0.00154685,0.0508954
5.1,0.0509706,0.00155244,0.0509954
5.11,0.0510705,0.00155804,0.0510954
5.12,0.0511703,0.00156364,0.0511954
5.13,0.0512702,0.00156926,0.0512953
5.14,0.05137,0.00157489,0.0513953
5.15,0.0514698,0.00158052,0.0514953
5.16,0.0515697,0.00158617,0.0515953
5.17,0.0516695,0.00159183,0.0516953
5.18,0.0517694,0.00159749,0.0517952
5.19,0.0518692,0.00160317,0.0518952
5.2,0.051969,0.00160885,0.0519952
5.21,0.0520689,0.00161455,0.0520952
5.22,0.0521687,0.00162026,0.0521951
5.23,0.0522685,0.00162597,0.0522951
