x1,y1,x2,y2vx1,vy1,vx2,vy2
-0.286781, -0.503213, 0.143391, 0.251607, -1.28289, 0.534057, 0.641446, -0.267029
-0.299479, -0.497598, 0.149739, 0.248799, -1.26977, 0.557078, 0.634886, -0.278539
-0.312041, -0.491757, 0.15602, 0.245878, -1.25618, 0.579658, 0.628091, -0.289829
-0.324462, -0.485695, 0.162231, 0.242847, -1.24214, 0.601785, 0.621071, -0.300893
-0.336739, -0.479416, 0.168369, 0.239708, -1.22767, 0.62345, 0.613834, -0.311725
-0.348867, -0.472925, 0.174433, 0.236462, -1.21278, 0.644642, 0.606392, -0.322321
-0.360842, -0.466227, 0.180421, 0.233113, -1.1975, 0.665354, 0.598752, -0.332677
-0.37266, -0.459327, 0.18633, 0.229663, -1.18185, 0.685578, 0.590926, -0.342789
-0.384319, -0.452229, 0.192159, 0.226115, -1.16584, 0.705308, 0.582922, -0.352654
-0.395814, -0.444939, 0.197907, 0.22247, -1.1495, 0.724539, 0.574751, -0.36227
-0.407142, -0.437462, 0.203571, 0.218731, -1.13284, 0.743266, 0.566421, -0.371633
-0.418301, -0.429803, 0.20915, 0.214901, -1.11589, 0.761486, 0.557943, -0.380743
-0.429287, -0.421966, 0.214644, 0.210983, -1.09865, 0.779195, 0.549325, -0.389597
-0.440099, -0.413958, 0.220049, 0.206979, -1.08116, 0.796392, 0.540578, -0.398196
-0.450733, -0.405783, 0.225367, 0.202891, -1.06342, 0.813075, 0.531709, -0.406537
-0.461188, -0.397446, 0.230594, 0.198723, -1.04546, 0.829244, 0.522729, -0.414622
-0.471461, -0.388953, 0.23573, 0.194476, -1.02729, 0.844899, 0.513646, -0.42245
-0.48155, -0.380308, 0.240775, 0.190154, -1.00894, 0.860042, 0.504469, -0.430021
-0.491454, -0.371517, 0.245727, 0.185758, -0.99041, 0.874674, 0.495205, -0.437337
-0.501171, -0.362584, 0.250586, 0.181292, -0.971728, 0.888797, 0.485864, -0.444398
-0.5107, -0.353516, 0.25535, 0.176758, -0.952907, 0.902413, 0.476453, -0.451207
-0.52004, -0.344316, 0.26002, 0.172158, -0.933962, 0.915527, 0.466981, -0.457764
-0.529189, -0.33499, 0.264595, 0.167495, -0.914909, 0.928142, 0.457454, -0.464071
-0.538147, -0.325543, 0.269073, 0.162771, -0.895762, 0.940263, 0.447881, -0.470131
-0.546912, -0.31598, 0.273456, 0.15799, -0.876536, 0.951893, 0.438268, -0.475947
-0.555485, -0.306305, 0.277742, 0.153152, -0.857244, 0.963039, 0.428622, -0.48152
-0.563864, -0.296523, 0.281932, 0.148262, -0.837899, 0.973706, 0.41895, -0.486853
-0.572049, -0.28664, 0.286024, 0.14332, -0.818515, 0.9839, 0.409258, -0.49195
-0.58004, -0.276659, 0.29002, 0.13833, -0.799104, 0.993626, 0.399552, -0.496813
-0.587836, -0.266586, 0.293918, 0.133293, -0.779677, 1.00289, 0.389839, -0.501446
-0.595439, -0.256424, 0.297719, 0.128212, -0.760246, 1.0117, 0.380123, -0.505852
-0.602847, -0.246179, 0.301424, 0.12309, -0.740822, 1.02007, 0.370411, -0.510035
-0.610061, -0.235855, 0.305031, 0.117927, -0.721415, 1.02799, 0.360707, -0.513997
-0.617082, -0.225455, 0.308541, 0.112728, -0.702035, 1.03549, 0.351017, -0.517743
-0.623909, -0.214985, 0.311954, 0.107493, -0.682691, 1.04255, 0.341346, -0.521277
-0.630542, -0.204449, 0.315271, 0.102224, -0.663393, 1.0492, 0.331696, -0.524602
-0.636984, -0.19385, 0.318492, 0.096925, -0.644149, 1.05544, 0.322074, -0.527722
-0.643234, -0.183193, 0.321617, 0.0915964, -0.624967, 1.06128, 0.312483, -0.530641
