x1,y1,x2,y2vx1,vy1,vx2,vy2
0.471179, -0.387077, -0.23559, 0.193538, -1.00709, -0.870534, 0.503547, 0.435267
0.460924, -0.39563, -0.230462, 0.197815, -1.02557, -0.855359, 0.512783, 0.42768
0.450485, -0.404027, -0.225243, 0.202013, -1.04385, -0.839669, 0.521923, 0.419834
0.439866, -0.412261, -0.219933, 0.206131, -1.06192, -0.823461, 0.530959, 0.41173
0.429069, -0.420329, -0.214534, 0.210164, -1.07976, -0.806736, 0.539881, 0.403368
0.418095, -0.428224, -0.209047, 0.214112, -1.09736, -0.789494, 0.548681, 0.394747
0.406948, -0.435941, -0.203474, 0.217971, -1.1147, -0.771737, 0.55735, 0.385869
0.39563, -0.443476, -0.197815, 0.221738, -1.13175, -0.753467, 0.565877, 0.376734
0.384145, -0.450823, -0.192073, 0.225411, -1.14851, -0.734687, 0.574254, 0.367343
0.372496, -0.457977, -0.186248, 0.228988, -1.16494, -0.715401, 0.582471, 0.3577
0.360686, -0.464933, -0.180343, 0.232466, -1.18104, -0.695613, 0.590518, 0.347807
0.348718, -0.471686, -0.174359, 0.235843, -1.19677, -0.67533, 0.598386, 0.337665
0.336597, -0.478232, -0.168298, 0.239116, -1.21213, -0.654557, 0.606064, 0.327279
0.324326, -0.484565, -0.162163, 0.242282, -1.22709, -0.633303, 0.613544, 0.316652
0.311909, -0.49068, -0.155955, 0.24534, -1.24163, -0.611576, 0.620815, 0.305788
0.299352, -0.496574, -0.149676, 0.248287, -1.25574, -0.589386, 0.627868, 0.294693
0.286658, -0.502242, -0.143329, 0.251121, -1.26939, -0.566742, 0.634693, 0.283371
0.273833, -0.507678, -0.136916, 0.253839, -1.28256, -0.543658, 0.641281, 0.271829
0.26088, -0.51288, -0.13044, 0.25644, -1.29524, -0.520144, 0.647622, 0.260072
0.247806, -0.517842, -0.123903, 0.258921, -1.30742, -0.496216, 0.653708, 0.248108
0.234615, -0.522561, -0.117308, 0.26128, -1.31906, -0.471887, 0.659529, 0.235943
0.221314, -0.527032, -0.110657, 0.263516, -1.33015, -0.447172, 0.665077, 0.223586
0.207907, -0.531253, -0.103953, 0.265627, -1.34069, -0.42209, 0.670344, 0.211045
0.1944, -0.53522, -0.0972002, 0.26761, -1.35064, -0.396656, 0.67532, 0.198328
0.1808, -0.538929, -0.0904002, 0.269464, -1.36, -0.370889, 0.68, 0.185445
0.167113, -0.542377, -0.0835565, 0.271188, -1.36875, -0.344809, 0.684375, 0.172405
0.153344, -0.545561, -0.0766721, 0.272781, -1.37687, -0.318436, 0.688437, 0.159218
0.139501, -0.548479, -0.0697503, 0.27424, -1.38436, -0.29179, 0.692182, 0.145895
0.125589, -0.551128, -0.0627943, 0.275564, -1.39121, -0.264894, 0.695603, 0.132447
0.111615, -0.553506, -0.0558073, 0.276753, -1.39739, -0.23777, 0.698693, 0.118885
0.0975857, -0.55561, -0.0487929, 0.277805, -1.4029, -0.21044, 0.701449, 0.10522
0.0835084, -0.557439, -0.0417542, 0.27872, -1.40773, -0.182928, 0.703865, 0.091464
0.0693897, -0.558992, -0.0346948, 0.279496, -1.41187, -0.155259, 0.705937, 0.0776295
0.0552364, -0.560267, -0.0276182, 0.280133, -1.41533, -0.127457, 0.707663, 0.0637286
0.0410556, -0.561262, -0.0205278, 0.280631, -1.41808, -0.0995474, 0.709039, 0.0497737
0.0268544, -0.561978, -0.0134272, 0.280989, -1.42012, -0.071555, 0.710062, 0.0357775
0.0126397, -0.562413, -0.00631987, 0.281206, -1.42147, -0.0435056, 0.710733, 0.0217528
-0.00158122, -0.562567, 0.000790608, 0.281283, -1.4221, -0.0154249, 0.711048, 0.00771244
-0.0158014, -0.56244, 0.0079007, 0.28122, -1.42202, 0.0126614, 0.711009, -0.00633069
